番号 	Winner1 	Winner2 	Winner3 	Winner4 	Loser1 	Loser2 	Loser3 	Loser4 	レート増 	レート減
1 	moomin 	El_cid 	mmn 	inosisi 	arata 	demeking 	TENKA 	safe 	11 	10
2 	aikuchi 	nomonomo 	fabi 	AFINA 	RAMI 	moomin 	demeking 	yokohama5 	12 	11
3 	pietan 	nomonomo 	moomin 	AFINA 	aikuchi 	teranushi 	RAMI 	yokohama5 	14 	13
4 	teranushi 	arata 	Izzey 	Heigen 	aikuchi 	moomin 	cafu 	sanettie 	13 	12
5 	nomonomo 	moomin 	Izzey 	yokohama5 	aikuchi 	arata 	cafu 	sanettie 	12 	11
6 	arata 	cafu 	yokohama5 	sanettie 	moomin 	Izzey 	inosisi 	irina 	13 	12
7 	nomonomo 	RAMI 	hiro_ 	sanettie 	arata 	moomin 	otyoufx 	inosisi 	14 	13
8 	yamax 	RAMI 	arata 	poll 	pietan 	aikuchi 	Duca 	Heigen 	17 	16
9 	arata 	MisakaMikoto 	oSaru 	Heigen 	nomonomo 	Izzey 	mafty 	inosisi 	13 	12
10 	nomonomo 	mafty 	fabi 	inosisi 	moomin 	Izzey 	AFINA 	TENKA 	15 	14
11 	arata 	Izzey 	mafty 	TENKA 	nomonomo 	moomin 	AFINA 	inosisi 	12 	11
12 	teranushi 	co2 	fabi 	TENKA 	nomonomo 	moomin 	Lia 	AFINA 	12 	11
13 	teranushi 	co2 	nomonomo 	yamax 	pietan 	guren 	arata 	moomin 	15 	14
14 	guren 	isami 	arata 	moomin 	pietan 	nomonomo 	Izzey 	ninunufu 	10 	9
15 	guren 	nomonomo 	arata 	moomin 	pietan 	RAMI 	Lia 	Izzey 	11 	10
16 	pietan 	moomin 	Lia 	mityu 	nomonomo 	arata 	RAMI 	Raiden 	10 	9
17 	pietan 	nomonomo 	Nulayer 	fabi 	co2 	aikuchi 	moomin 	say_to 	17 	16
18 	pietan 	co2 	moomin 	say_to 	teranushi 	aikuchi 	nomonomo 	ninunufu 	12 	11
19 	pietan 	nomonomo 	RAMI 	Unagi 	teranushi 	co2 	aikuchi 	ninunufu 	11 	10
20 	isami 	arata 	moomin 	Izzey 	teranushi 	aikuchi 	yamax 	Heigen 	9 	8
21 	pietan 	maedy 	sanettie 	yokohama5 	nomonomo 	RAMI 	fabi 	inosisi 	11 	10
22 	nomonomo 	moomin 	Izzey 	sanettie 	teranushi 	arata 	oSaru 	yokohama5 	16 	15
23 	arata 	RAMI 	maedy 	mafty 	co2 	isami 	demeking 	inosisi 	11 	10
24 	co2 	MisakaMikoto 	Qsonata 	cafu 	aikuchi 	moomin 	oSaru 	fabi 	14 	13
25 	aikuchi 	MisakaMikoto 	say_to 	CoRoNa 	papasu 	yamax 	cafu 	mitukunn 	13 	12
26 	aikuchi 	Unagi 	cafu 	fabi 	yamax 	arata 	hiro_ 	mitukunn 	13 	12
27 	arata 	hiro_ 	Qsonata 	cafu 	yamax 	moomin 	nanaco 	mitukunn 	12 	11
28 	isami 	moomin 	MisakaMikoto 	el-nino 	nomonomo 	arata 	hiro_ 	cafu 	10 	9
29 	nomonomo 	moomin 	Izzey 	hiro_ 	yamax 	arata 	MisakaMikoto 	cafu 	15 	14
30 	nomonomo 	arata 	say_to 	cafu 	moomin 	MisakaMikoto 	Izzey 	mafty 	11 	10
31 	co2 	moomin 	Izzey 	mafty 	isami 	arata 	Lia 	cafu 	10 	9
32 	teranushi 	oSaru 	veltpunch 	Heigen 	yamax 	Leon 	cafu 	safe 	12 	11
33 	papasu 	MisakaMikoto 	Leon 	Lionjack 	isami 	yamax 	Unagi 	TENKA 	12 	11
